TestKey,ControlKey,SystemKey,ControlCategoryKey,OwnerKey,TestDateKey,TestResult,ExceptionSeverity,RemediationStatus,RemediationOpenDateKey,RemediationDueDateKey,RemediationCloseDateKey
1,1,1,1,1,20240915,Pass,N/A,N/A,,,
2,1,1,1,1,20241015,Pass,N/A,N/A,,,
3,1,1,1,1,20241115,Pass,N/A,N/A,,,
4,1,1,1,1,20241215,Pass,N/A,N/A,,,
5,1,1,1,1,20250115,Exception,Medium,Closed,20250115.0,20250316.0,20250131.0
6,1,1,1,1,20250215,Pass,N/A,N/A,,,
7,1,1,1,1,20250315,Pass,N/A,N/A,,,
8,1,1,1,1,20250415,Pass,N/A,N/A,,,
9,1,1,1,1,20250515,Pass,N/A,N/A,,,
10,1,1,1,1,20250615,Pass,N/A,N/A,,,
11,1,1,1,1,20250715,Pass,N/A,N/A,,,
12,1,1,1,1,20250815,Pass,N/A,N/A,,,
13,1,1,1,1,20250915,Pass,N/A,N/A,,,
14,1,1,1,1,20251015,Exception,Medium,Closed,20251015.0,20251214.0,20251102.0
15,1,1,1,1,20251115,Pass,N/A,N/A,,,
16,1,1,1,1,20251215,Pass,N/A,N/A,,,
17,1,1,1,1,20260115,Pass,N/A,N/A,,,
18,1,1,1,1,20260215,Exception,Critical,Closed,20260215.0,20260302.0,20260315.0
19,1,1,1,1,20260315,Pass,N/A,N/A,,,
20,1,1,1,1,20260415,Pass,N/A,N/A,,,
21,1,1,1,1,20260515,Pass,N/A,N/A,,,
22,1,1,1,1,20260615,Pass,N/A,N/A,,,
23,1,1,1,1,20260715,Pass,N/A,N/A,,,
24,1,1,1,1,20260815,Fail,High,Closed,20260815.0,20260914.0,20260828.0
25,1,1,1,1,20260915,Pass,N/A,N/A,,,
26,2,1,2,2,20240915,Pass,N/A,N/A,,,
27,2,1,2,2,20241215,Pass,N/A,N/A,,,
28,2,1,2,2,20250315,Pass,N/A,N/A,,,
29,2,1,2,2,20250615,Pass,N/A,N/A,,,
30,2,1,2,2,20250915,Pass,N/A,N/A,,,
31,2,1,2,2,20251215,Pass,N/A,N/A,,,
