AssessmentKey,VendorKey,AssessmentDateKey,NextDueDateKey,InherentRiskTier,ResidualRiskTier,OpenFindingsCount,CriticalFindingsCount,IsLatestAssessment,OverdueForReassessment
1,1,20240914,20250909,High,High,1,0,False,False
2,1,20250909,20260904,High,High,2,1,True,True
3,2,20240213,20250207,High,High,6,2,False,False
4,2,20250207,20260202,High,High,1,0,False,False
5,2,20260202,20270128,High,High,2,0,True,False
6,3,20240909,20250904,High,High,2,0,False,False
7,3,20250904,20260830,High,High,8,1,True,True
8,4,20240627,20250622,High,High,1,1,False,False
9,4,20250622,20260617,High,High,5,1,False,False
10,4,20260617,20270612,High,High,1,0,True,False
11,5,20240923,20260317,Medium,Medium,0,0,False,False
12,5,20260317,20270908,Medium,Medium,0,0,True,False
13,6,20240619,20251211,Medium,Medium,2,0,False,False
14,6,20251211,20270604,Medium,High,4,1,True,False
15,7,20250204,20270125,Low,Low,0,0,True,False
16,8,20250226,20270216,Low,Low,0,0,True,False
17,9,20240603,20250529,High,High,0,0,False,False
18,9,20250529,20260524,High,High,2,0,False,False
19,9,20260524,20270519,High,High,2,1,True,False
20,10,20240524,20250519,High,High,2,0,False,False
21,10,20250519,20260514,High,High,1,1,True,True
22,11,20240718,20250713,High,High,1,1,False,False
23,11,20250713,20260708,High,High,7,3,False,False
24,11,20260708,20270703,High,High,4,2,True,False
25,12,20240621,20250616,High,High,7,2,False,False
26,12,20250616,20260611,High,High,3,0,False,False
27,12,20260611,20270606,High,High,2,1,True,False
28,13,20241010,20260403,Medium,Medium,0,0,False,False
29,13,20260403,20270925,Medium,High,1,1,True,False
30,14,20240614,20251206,Medium,High,3,1,False,False
31,14,20251206,20270530,Medium,High,1,1,True,False
32,15,20240212,20260201,Low,Low,0,0,False,False
33,15,20260201,20280122,Low,Low,1,0,True,False
34,16,20251130,20271120,Low,Low,0,0,True,False
35,17,20240414,20250409,High,High,4,1,False,False
36,17,20250409,20260404,High,High,0,0,True,True
37,18,20240511,20250506,High,High,2,0,False,False
38,18,20250506,20260501,High,High,2,0,False,False
39,18,20260501,20270426,High,High,4,1,True,False
40,19,20240409,20250404,High,High,2,0,False,False
41,19,20250404,20260330,High,High,1,1,True,True
42,20,20240305,20250228,High,High,2,1,False,False
43,20,20250228,20260223,High,High,3,0,False,False
44,20,20260223,20270218,High,High,4,2,True,False
45,21,20250128,20260722,Medium,Medium,2,0,False,False
46,21,20260722,20280113,Medium,High,2,1,True,False
47,22,20240212,20250805,Medium,Medium,2,0,False,False
48,22,20250805,20270127,Medium,Medium,0,0,True,False
49,23,20250214,20270204,Low,Low,0,0,True,False
50,24,20240926,20260916,Low,Low,0,0,False,False
51,24,20260916,20280905,Low,Low,0,0,True,False
52,25,20240205,20250130,High,High,8,3,False,False
53,25,20250130,20260125,High,High,2,0,False,False
54,25,20260125,20270120,High,High,0,0,True,False
